size_bytes,trial,accesses,elapsed_cycles,cycles_per_access
4096,0,67567616,200043394,2.960640
4096,1,67633152,200158144,2.959468
4096,2,67698688,200038886,2.954841
4096,3,67829760,200108876,2.950163
4096,4,67633152,200096694,2.958559
4096,5,67633152,200034382,2.957638
4096,6,67239936,200160494,2.976810
4096,7,67698688,200012372,2.954450
4096,8,67633152,200091394,2.958481
6144,0,67502080,200008092,2.962992
6144,1,67698688,200090118,2.955598
6144,2,67633152,200168986,2.959628
6144,3,67502080,200048942,2.963597
6144,4,67436544,200047020,2.966448
6144,5,67174400,200146804,2.979510
6144,6,67829760,200121000,2.950342
6144,7,68026368,200091472,2.941381
6144,8,67960832,200050874,2.943620
8192,0,67502080,200029582,2.963310
8192,1,67960832,200043244,2.943508
8192,2,67764224,200105012,2.952960
8192,3,67829760,200058984,2.949428
8192,4,68026368,200184896,2.942754
8192,5,68026368,200125040,2.941875
8192,6,67960832,200177264,2.945480
8192,7,67698688,200009820,2.954412
8192,8,67764224,200107832,2.953001
12288,0,66387968,200038832,3.013179
12288,1,65404928,200106484,3.059502
12288,2,67567616,200132778,2.961963
12288,3,66125824,200104536,3.026118
12288,4,65929216,200177342,3.036246
12288,5,67371008,200093542,2.970024
12288,6,67436544,200030652,2.966206
12288,7,67371008,200026556,2.969030
12288,8,59506688,200047346,3.361762
16384,0,66519040,200092850,3.008054
16384,1,67698688,200065612,2.955236
16384,2,67698688,200060742,2.955164
16384,3,67633152,200000072,2.957131
16384,4,67371008,200036856,2.969183
16384,5,66846720,200087108,2.993223
16384,6,67436544,200070220,2.966792
16384,7,67371008,200085620,2.969907
16384,8,67633152,200171474,2.959665
24576,0,67305472,200024374,2.971889
24576,1,67633152,200156532,2.959444
24576,2,67698688,200147552,2.956447
24576,3,67436544,200161800,2.968150
24576,4,67239936,200008010,2.974542
24576,5,67043328,200181778,2.985857
24576,6,67633152,200180106,2.959793
24576,7,67502080,200105128,2.964429
24576,8,67567616,200071696,2.961059
32768,0,67174400,200183974,2.980063
32768,1,67502080,200149078,2.965080
32768,2,67108864,200113840,2.981929
32768,3,67174400,200175706,2.979940
32768,4,67567616,200146962,2.962173
32768,5,67502080,200075134,2.963985
32768,6,67371008,200024572,2.969001
32768,7,66977792,200166842,2.988555
32768,8,67436544,200027582,2.966160
49152,0,66781184,200129126,2.996789
49152,1,66781184,200024344,2.995220
49152,2,67043328,200174500,2.985748
49152,3,65601536,200146090,3.050936
49152,4,66977792,200052060,2.986842
49152,5,67108864,200192038,2.983094
49152,6,66912256,200106596,2.990582
49152,7,67043328,200050830,2.983904
49152,8,67174400,200050472,2.978076
65536,0,44171264,200240476,4.533275
65536,1,44040192,200033932,4.542077
65536,2,44171264,200286404,4.534315
65536,3,43778048,200026742,4.569111
65536,4,44302336,200292760,4.521043
65536,5,43450368,200180866,4.607116
65536,6,42139648,200268858,4.752504
65536,7,43843584,200232400,4.566972
65536,8,43909120,200255078,4.560672
98304,0,33095680,200248442,6.050592
98304,1,33423360,200014888,5.984284
98304,2,33292288,200016208,6.007884
98304,3,33292288,200424066,6.020135
98304,4,33030144,200229932,6.062036
98304,5,33292288,200107116,6.010615
98304,6,33095680,200102200,6.046173
98304,7,33357824,200099754,5.998585
98304,8,33226752,200300200,6.028281
131072,0,28442624,200398472,7.045710
131072,1,29294592,200156654,6.832546
131072,2,29884416,200246494,6.700700
131072,3,29753344,200137686,6.726561
131072,4,29949952,200198170,6.684424
131072,5,26411008,200409478,7.588104
131072,6,29687808,200096950,6.740038
131072,7,29753344,200341886,6.733424
131072,8,29687808,200070214,6.739137
196608,0,27000832,200464418,7.424379
196608,1,26935296,200262038,7.434930
196608,2,27000832,200452830,7.423950
196608,3,27066368,200415774,7.404605
196608,4,27131904,200414322,7.386666
196608,5,26935296,200330920,7.437487
196608,6,26935296,200414544,7.440592
196608,7,27066368,200305722,7.400539
196608,8,27131904,200455774,7.388194
262144,0,25427968,200434596,7.882446
262144,1,25296896,200404672,7.922105
262144,2,25690112,200388000,7.800200
262144,3,25493504,200501774,7.864818
262144,4,25690112,200209452,7.793249
262144,5,25559040,200257192,7.835083
262144,6,25559040,200042056,7.826665
262144,7,25493504,200040544,7.846726
262144,8,25427968,200247850,7.875102
393216,0,23920640,200044146,8.362826
393216,1,24248320,200176100,8.255256
393216,2,24248320,200012546,8.248511
393216,3,24576000,200196818,8.146029
393216,4,24051712,200286422,8.327325
393216,5,24379392,200242798,8.213609
393216,6,24051712,200212472,8.324250
393216,7,24313856,200123588,8.230845
393216,8,24117248,200062690,8.295420
524288,0,21168128,200377760,9.466012
524288,1,21299200,200458016,9.411528
524288,2,21168128,200426702,9.468324
524288,3,21364736,200019764,9.362145
524288,4,21233664,200138378,9.425523
524288,5,20119552,200287052,9.954847
524288,6,18808832,200196236,10.643736
524288,7,20447232,200542264,9.807795
524288,8,20316160,200323306,9.860294
786432,0,17629184,200477980,11.371938
786432,1,17891328,200303876,11.195585
786432,2,18022400,200404512,11.119746
786432,3,17956864,200002064,11.137917
786432,4,17760256,200715428,11.301381
786432,5,17694720,200204368,11.314356
786432,6,18219008,200423778,11.000806
786432,7,18350080,200166826,10.908226
786432,8,18022400,200564274,11.128611
1048576,0,14155776,200368140,14.154515
1048576,1,13565952,200321992,14.766527
1048576,2,13959168,200503930,14.363602
1048576,3,13565952,200702948,14.794608
1048576,4,13828096,200442666,14.495319
1048576,5,14614528,200820120,13.741129
1048576,6,14614528,200770872,13.737760
1048576,7,14090240,200099374,14.201275
1048576,8,13959168,200036798,14.330138
1572864,0,9306112,200699748,21.566445
1572864,1,10551296,201097366,19.059020
1572864,2,8847360,200997726,22.718384
1572864,3,10092544,200997218,19.915417
1572864,4,9961472,200222006,20.099640
1572864,5,10485760,200782316,19.148094
1572864,6,10551296,200333564,18.986631
1572864,7,10485760,200244632,19.096816
1572864,8,10616832,201277906,18.958377
2097152,0,8192000,200541074,24.480112
2097152,1,8192000,200476460,24.472224
2097152,2,7733248,201191956,26.016488
2097152,3,8192000,200358906,24.457874
2097152,4,8257536,200907438,24.330192
2097152,5,8257536,201097372,24.353193
2097152,6,8323072,201357606,24.192703
2097152,7,8323072,201165918,24.169672
2097152,8,8257536,200528302,24.284278
3145728,0,6750208,200115792,29.645870
3145728,1,7405568,200633460,27.092245
3145728,2,7405568,200682608,27.098881
3145728,3,7405568,200095726,27.019633
3145728,4,7405568,201681698,27.233792
3145728,5,7208960,200802248,27.854538
3145728,6,7405568,200879114,27.125416
3145728,7,6881280,200769768,29.176224
3145728,8,6815744,200946626,29.482713
4194304,0,6094848,202484622,33.222260
4194304,1,5636096,202012804,35.842683
4194304,2,6029312,200235514,33.210342
4194304,3,6094848,201682504,33.090654
4194304,4,6029312,200420570,33.241035
4194304,5,5898240,203667516,34.530219
4194304,6,5505024,200415478,36.405923
4194304,7,6029312,201100456,33.353798
4194304,8,6094848,201864280,33.120478
6291456,0,5505024,201825690,36.662091
6291456,1,5505024,200324124,36.389328
6291456,2,5570560,201477496,36.168266
6291456,3,4653056,204214770,43.888311
6291456,4,5373952,202165630,37.619545
6291456,5,5439488,201574216,37.057572
6291456,6,5308416,200941008,37.853290
6291456,7,5373952,200890248,37.382219
6291456,8,5373952,201244162,37.448076
8388608,0,4915200,200849916,40.863020
8388608,1,3932160,202088234,51.393696
8388608,2,4915200,200927378,40.878780
8388608,3,4915200,200456378,40.782955
8388608,4,4456448,201277652,45.165489
8388608,5,4128768,200489546,48.559170
8388608,6,4980736,200338200,40.222610
8388608,7,4849664,201710970,41.592772
8388608,8,4915200,201729076,41.041886
12582912,0,3932160,200765532,51.057315
12582912,1,3932160,202622828,51.529650
12582912,2,3932160,201763698,51.311162
12582912,3,3473408,201075716,57.890037
12582912,4,3932160,200891470,51.089343
12582912,5,3801088,201555346,53.025698
12582912,6,3735552,203755884,54.545054
12582912,7,2555904,205971118,80.586406
12582912,8,2818048,201105442,71.363384
16777216,0,2686976,203829824,75.858446
16777216,1,2686976,205139884,76.346005
16777216,2,2555904,203263892,79.527201
16777216,3,2621440,203287930,77.548191
16777216,4,1900544,202961146,106.791080
16777216,5,2555904,204364056,79.957642
16777216,6,2686976,201938866,75.154697
16777216,7,2686976,201293958,74.914684
16777216,8,2686976,201382300,74.947562
25165824,0,1703936,206773814,121.350693
25165824,1,1179648,204944350,173.733478
25165824,2,1638400,204333738,124.715416
25165824,3,1638400,204384410,124.746344
25165824,4,1638400,207954470,126.925336
25165824,5,1638400,206362680,125.953784
25165824,6,1638400,203908740,124.456018
25165824,7,1638400,206087638,125.785912
25165824,8,1507328,200022968,132.700360
33554432,0,1245184,208223756,167.223283
33554432,1,1310720,204508394,156.027522
33554432,2,1310720,216606332,165.257516
33554432,3,1048576,202780076,193.386150
33554432,4,1310720,209509220,159.842850
33554432,5,1048576,204537180,195.061855
33554432,6,1310720,205044264,156.436359
33554432,7,1310720,207763066,158.510640
33554432,8,1114112,203397340,182.564536
50331648,0,983040,204753374,208.285903
50331648,1,983040,205912540,209.465068
50331648,2,983040,211212594,214.856561
50331648,3,983040,214702542,218.406720
50331648,4,917504,203829750,222.156797
50331648,5,983040,200498666,203.957790
50331648,6,983040,214025852,217.718355
50331648,7,917504,200193682,218.193798
50331648,8,983040,204302174,207.826919
67108864,0,983040,213345376,217.026139
67108864,1,1048576,207917474,198.285555
67108864,2,983040,209971892,213.594454
67108864,3,917504,202563518,220.776714
67108864,4,983040,206456262,210.018170
67108864,5,917504,218022980,237.626190
67108864,6,917504,207682520,226.355983
67108864,7,983040,211279796,214.924923
67108864,8,983040,200061328,203.512907
100663296,0,917504,210219162,229.120704
100663296,1,917504,211423020,230.432805
100663296,2,917504,211132502,230.116165
100663296,3,917504,206371850,224.927466
100663296,4,917504,210004256,228.886475
100663296,5,720896,202584532,281.017695
100663296,6,917504,211183676,230.171940
100663296,7,917504,212908786,232.052161
100663296,8,917504,211699058,230.733662
134217728,0,851968,208600694,244.845691
134217728,1,851968,200890302,235.795596
134217728,2,720896,200092828,277.561296
134217728,3,786432,212454732,270.150162
134217728,4,851968,213727198,250.862941
134217728,5,917504,214185532,233.443704
134217728,6,851968,218329492,256.264897
134217728,7,786432,208599738,265.248283
134217728,8,851968,202053826,237.161285
201326592,0,983040,211431714,215.079462
201326592,1,983040,210424716,214.055090
201326592,2,851968,213610226,250.725645
201326592,3,851968,200467816,235.299701
201326592,4,917504,201129578,219.213843
201326592,5,917504,200612142,218.649883
201326592,6,983040,212458002,216.123456
201326592,7,983040,203358042,206.866498
201326592,8,983040,203281052,206.788180
268435456,0,917504,204173108,222.531028
268435456,1,917504,202244044,220.428515
268435456,2,983040,212419994,216.084792
268435456,3,983040,212039646,215.697882
268435456,4,983040,212147414,215.807509
268435456,5,917504,216661246,236.142018
268435456,6,917504,213256738,232.431399
268435456,7,917504,201371284,219.477282
268435456,8,917504,203063894,221.322080
402653184,0,851968,215018032,252.378061
402653184,1,917504,213813298,233.038001
402653184,2,917504,211631992,230.660566
402653184,3,851968,206046192,241.847337
402653184,4,917504,208694014,227.458424
402653184,5,917504,208481070,227.226334
402653184,6,851968,208792938,245.071338
402653184,7,786432,210613326,267.808693
402653184,8,851968,205213612,240.870094
536870912,0,786432,204392580,259.898605
536870912,1,786432,214168850,272.329775
536870912,2,851968,213928246,251.098922
536870912,3,851968,210302752,246.843487
536870912,4,851968,206037978,241.837696
536870912,5,917504,216516950,235.984748
536870912,6,917504,212495874,231.602123
536870912,7,786432,207117112,263.363027
536870912,8,851968,214107360,251.309157
