size_bytes,median_cpa
4096,2.958481
6144,2.959628
8192,2.949428
12288,3.013179
16384,2.966792
24576,2.964429
32768,2.969001
49152,2.986842
65536,4.560672
98304,6.020135
131072,6.739137
196608,7.423950
262144,7.846726
393216,8.255256
524288,9.468324
786432,11.137917
1048576,14.330138
1572864,19.148094
2097152,24.353193
3145728,27.233792
4194304,33.241035
6291456,37.382219
8388608,41.041886
12582912,53.025698
16777216,76.346005
25165824,125.785912
33554432,165.257516
50331648,214.856561
67108864,214.924923
100663296,230.171940
134217728,250.862941
201326592,216.123456
268435456,220.428515
402653184,240.870094
536870912,251.098922
